"filename", "language", "TypeScript JSX", "JSON with Comments", "TypeScript", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\services\CervezaService.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 6, 30
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\services\ComentarioDegustacionService.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 9, 38
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\services\DegustacionService.ts", "TypeScript", 0, 0, 59, 0, 0, 8, 11, 78
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\services\GalardonService.ts", "TypeScript", 0, 0, 141, 0, 0, 22, 37, 200
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\services\LocalService.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 6, 30
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\services\SolicitudAmistadService.ts", "TypeScript", 0, 0, 63, 0, 0, 11, 17, 91
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\services\UsuarioService.ts", "TypeScript", 0, 0, 138, 0, 0, 8, 37, 183
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\tests\integration\integracion.test.ts", "TypeScript", 0, 0, 232, 0, 0, 20, 30, 282
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\tests\unit\auth.controller.test.ts", "TypeScript", 0, 0, 35, 0, 0, 1, 14, 50
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\tests\unit\cerveza.controller.test.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 11, 46
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\tests\unit\comentario.controller.test.ts", "TypeScript", 0, 0, 46, 0, 0, 1, 14, 61
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\tests\unit\degustacion.controller.test.ts", "TypeScript", 0, 0, 52, 0, 0, 1, 15, 68
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\tests\unit\local.controller.test.ts", "TypeScript", 0, 0, 42, 0, 0, 1, 17, 60
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\tests\unit\solicitud.controller.test.ts", "TypeScript", 0, 0, 46, 0, 0, 0, 13, 59
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\tests\unit\usuario.controller.test.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 8, 41
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\tests\utils\expressMocks.ts", "TypeScript", 0, 0, 15, 0, 0, 1, 2, 18
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\utils\validators.tsx", "TypeScript JSX", 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\tsconfig.json", "JSON with Comments", 0, 15, 0, 0, 0, 0, 1, 16
"Total", "-", 29, 15, 2014, 8, 68, 144, 550, 2828
