"filename", "language", "TypeScript JSX", "TypeScript", "PostCSS", "JSON", "comment", "blank", "total"
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\middleware\errorHandler.ts", "TypeScript", 0, 0, 0, 0, -1, -1, -2
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\models\Cerveza.ts", "TypeScript", 0, -31, 0, 0, -1, -14, -46
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\models\ComentarioDegustacion.ts", "TypeScript", 0, -26, 0, 0, -1, -6, -33
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\models\Degustacion.ts", "TypeScript", 0, -33, 0, 0, 0, -9, -42
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\models\LikeLocal.ts", "TypeScript", 0, -23, 0, 0, -1, -5, -29
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\models\Local.ts", "TypeScript", 0, -18, 0, 0, -1, -8, -27
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\models\SolicitudAmistad.ts", "TypeScript", 0, -17, 0, 0, -1, -5, -23
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\models\Usuario.ts", "TypeScript", 0, -54, 0, 0, -5, -22, -81
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\models\UsuarioGalardon.ts", "TypeScript", 0, -19, 0, 0, -1, -8, -28
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\repositories\CervezaRepository.ts", "TypeScript", 0, -3, 0, 0, 0, -2, -5
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\repositories\ComentarioDegustacionRepository.ts", "TypeScript", 0, -3, 0, 0, 0, -1, -4
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\repositories\DegustacionRepository.ts", "TypeScript", 0, -3, 0, 0, 0, -2, -5
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\repositories\LocalRepository.ts", "TypeScript", 0, -3, 0, 0, 0, -2, -5
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\repositories\SolicitudAmistadRepository.ts", "TypeScript", 0, -3, 0, 0, 0, -2, -5
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\repositories\UsuarioRepository.ts", "TypeScript", 0, -3, 0, 0, -1, -2, -6
"c:\Users\sergi\Documents\7ºCuatri\IS2\Proyecto\BeerSP\backend\src\routes\authRoutes.ts", "TypeScript", 0, -5, 0, 0, 0, -4, -9
